0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
18   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /Users/cell/Desktop/FinancialNewsSearchEngine/solr-4.10.3/financial-news-se/contexts at interval 0
22   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /Users/cell/Desktop/FinancialNewsSearchEngine/solr-4.10.3/financial-news-se/contexts/solr-jetty-context.xml
864  [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
901  [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
909  [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
910  [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /Users/cell/Desktop/FinancialNewsSearchEngine/solr-4.10.3/financial-news-se/solr
910  [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/Users/cell/Desktop/FinancialNewsSearchEngine/solr-4.10.3/financial-news-se/solr/'
2037 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /configs/myconf/xslt/example_rss.xsl
2039 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /configs/myconf/xslt/luke.xsl
2040 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /configs/myconf/xslt/updateXml.xsl
2059 [main] INFO  org.apache.solr.core.CoresLocator  – Looking for core definitions underneath /Users/cell/Desktop/FinancialNewsSearchEngine/solr-4.10.3/financial-news-se/solr
2065 [main] INFO  org.apache.solr.core.CoresLocator  – Found core collection1 in /Users/cell/Desktop/FinancialNewsSearchEngine/solr-4.10.3/financial-news-se/solr/collection1/
2065 [main] INFO  org.apache.solr.core.CoresLocator  – Found 1 core definitions
2067 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.cloud.ZkController  – publishing core=collection1 state=down collection=collection1
2068 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.cloud.ZkController  – numShards not found on descriptor - reading it from system property
2070 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.cloud.ZkController  – look for our core node name
2070 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.cloud.ZkController  – waiting to find shard id in clusterstate for collection1
2070 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.cloud.ZkController  – Check for collection zkNode:collection1
2070 [zkCallback-2-thread-1] INFO  org.apache.solr.cloud.DistributedQueue  – LatchChildWatcher fired on path: /overseer/queue state: SyncConnected type NodeChildrenChanged
2070 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.cloud.ZkController  – Collection zkNode exists
2071 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.common.cloud.ZkStateReader  – Load collection config from:/collections/collection1
2072 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.common.cloud.ZkStateReader  – path=/collections/collection1 configName=myconf specified config exists in ZooKeeper
2072 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/Users/cell/Desktop/FinancialNewsSearchEngine/solr-4.10.3/financial-news-se/solr/collection1/'
2073 [OverseerStateUpdate-97008433361518592-192.168.0.12:8983_solr-n_0000000005] INFO  org.apache.solr.cloud.Overseer  – Update state numShards=1 message={
  "core":"collection1",
  "roles":null,
  "base_url":"http://192.168.0.12:8983/solr",
  "node_name":"192.168.0.12:8983_solr",
  "numShards":"1",
  "state":"down",
  "shard":null,
  "collection":"collection1",
  "operation":"state"}
2073 [OverseerStateUpdate-97008433361518592-192.168.0.12:8983_solr-n_0000000005] INFO  org.apache.solr.cloud.Overseer  – node=core_node1 is already registered
2073 [OverseerStateUpdate-97008433361518592-192.168.0.12:8983_solr-n_0000000005] INFO  org.apache.solr.cloud.Overseer  – shard=shard1 is already registered
2076 [zkCallback-2-thread-1] INFO  org.apache.solr.common.cloud.ZkStateReader  – A cluster state change: WatchedEvent state:SyncConnected type:NodeDataChanged path:/clusterstate.json, has occurred - updating... (live nodes size: 1)
2117 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrConfig  – Adding specified lib dirs to ClassLoader
2119 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/cell/Desktop/FinancialNewsSearchEngine/solr-4.10.3/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
2119 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/cell/Desktop/FinancialNewsSearchEngine/solr-4.10.3/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
2119 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/cell/Desktop/FinancialNewsSearchEngine/solr-4.10.3/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
2119 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/cell/Desktop/FinancialNewsSearchEngine/solr-4.10.3/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
2119 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/cell/Desktop/FinancialNewsSearchEngine/solr-4.10.3/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
2119 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/cell/Desktop/FinancialNewsSearchEngine/solr-4.10.3/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
2119 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/cell/Desktop/FinancialNewsSearchEngine/solr-4.10.3/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
2119 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/cell/Desktop/FinancialNewsSearchEngine/solr-4.10.3/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
2120 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/cell/Desktop/FinancialNewsSearchEngine/solr-4.10.3/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
2120 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/cell/Desktop/FinancialNewsSearchEngine/solr-4.10.3/contrib/extraction/lib/icu4j-53.1.jar' to classloader
2120 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/cell/Desktop/FinancialNewsSearchEngine/solr-4.10.3/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
2120 [coreLoadExecutor-6-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/cell/Desktop/FinancialNewsSearchEngine/solr-4.10.3/contrib/extraction/lib/jdom-1.0.jar' to classloader
